Pay Scale Description,Scale Point,Annual Rate
SENIOR ADMINISTRATOR,8,48336
SENIOR ADMINISTRATOR,7,47069
SENIOR ADMINISTRATOR,6,45799
SENIOR ADMINISTRATOR,5,44546
SENIOR ADMINISTRATOR,4,43282
SENIOR ADMINISTRATOR,3,42037
SENIOR ADMINISTRATOR,2,40785
SENIOR ADMINISTRATOR,1,39893
ADMINISTRATOR,18,41892
ADMINISTRATOR,17,40912
ADMINISTRATOR,16,39926
ADMINISTRATOR,15,39212
ADMINISTRATOR,14,38396
ADMINISTRATOR,13,37403
ADMINISTRATOR,12,36715
ADMINISTRATOR,11,35541
ADMINISTRATOR,10,34378
ADMINISTRATOR,9,33224
ADMINISTRATOR,8,32491
ADMINISTRATOR,7,31616
ADMINISTRATOR,6,30830
ADMINISTRATOR,5,30060
ADMINISTRATOR,4,29397
ADMINISTRATOR,3,28629
ADMINISTRATOR,2,27495
ADMINISTRATOR,1,26572
EPS PORTFOLIO MANAGER,6,107874
EPS PORTFOLIO MANAGER,5,103583
EPS PORTFOLIO MANAGER,4,99296
EPS PORTFOLIO MANAGER,3,95005
EPS PORTFOLIO MANAGER,2,90698
EPS PORTFOLIO MANAGER,1,86389
EPS CATEGORY MANAGER,8,90698
EPS CATEGORY MANAGER,7,86389
EPS CATEGORY MANAGER,6,82103
EPS CATEGORY MANAGER,5,79087
EPS CATEGORY MANAGER,4,75725
EPS CATEGORY MANAGER,3,72480
EPS CATEGORY MANAGER,2,69712
EPS CATEGORY MANAGER,1,67131
EPS CATEGORY SPECIALIST HIGHER,8,72779
EPS CATEGORY SPECIALIST HIGHER,7,68510
EPS CATEGORY SPECIALIST HIGHER,6,66318
EPS CATEGORY SPECIALIST HIGHER,5,64775
EPS CATEGORY SPECIALIST HIGHER,4,63240
EPS CATEGORY SPECIALIST HIGHER,3,61704
EPS CATEGORY SPECIALIST HIGHER,2,60174
EPS CATEGORY SPECIALIST HIGHER,1,58656
EPS CATEGORY SPECIALIST,8,59558
EPS CATEGORY SPECIALIST,7,57462
EPS CATEGORY SPECIALIST,6,55306
EPS CATEGORY SPECIALIST,5,53219
EPS CATEGORY SPECIALIST,4,51269
EPS CATEGORY SPECIALIST,3,49360
EPS CATEGORY SPECIALIST,2,47047
EPS CATEGORY SPECIALIST,1,44752
LIBRARY
SUB LIBRARIAN,15,106850
SUB LIBRARIAN,14,104052
SUB LIBRARIAN,13,102234
SUB LIBRARIAN,12,100531
SUB LIBRARIAN,11,97127
SUB LIBRARIAN,10,93715
SUB LIBRARIAN,9,90308
SUB LIBRARIAN,8,86613
SUB LIBRARIAN,7,83065
SUB LIBRARIAN,6,80106
SUB LIBRARIAN,5,77824
SUB LIBRARIAN,4,74734
SUB LIBRARIAN,3,71505
SUB LIBRARIAN,2,68413
SUB LIBRARIAN,1,64830
ASSISTANT LIBRARIAN 2,11,83397
ASSISTANT LIBRARIAN 2,10,79691
ASSISTANT LIBRARIAN 2,9,77291
ASSISTANT LIBRARIAN 2,8,72779
ASSISTANT LIBRARIAN 2,7,68510
ASSISTANT LIBRARIAN 2,6,66317
ASSISTANT LIBRARIAN 2,5,64776
ASSISTANT LIBRARIAN 2,4,63240
ASSISTANT LIBRARIAN 2,3,61704
ASSISTANT LIBRARIAN 2,2,60174
ASSISTANT LIBRARIAN 2,1,58657
ASSISTANT LIBRARIAN 1,15,69293
ASSISTANT LIBRARIAN 1,14,66805
ASSISTANT LIBRARIAN 1,13,64409
ASSISTANT LIBRARIAN 1,12,6371
ASSISTANT LIBRARIAN 1,11,6415
ASSISTANT LIBRARIAN 1,10,60468
ASSISTANT LIBRARIAN 1,9,59104
ASSISTANT LIBRARIAN 1,8,57745
ASSISTANT LIBRARIAN 1,7,56632
ASSISTANT LIBRARIAN 1,6,55126
ASSISTANT LIBRARIAN 1,5,53605
ASSISTANT LIBRARIAN 1,4,51269
ASSISTANT LIBRARIAN 1,3,49364
ASSISTANT LIBRARIAN 1,2,47050
ASSISTANT LIBRARIAN 1,1,44751
SENIOR LIBRARY ASSISTANT,13,53657
SENIOR LIBRARY ASSISTANT,12,51945
SENIOR LIBRARY ASSISTANT,11,50539
SENIOR LIBRARY ASSISTANT,10,48932
SENIOR LIBRARY ASSISTANT,9,47587
SENIOR LIBRARY ASSISTANT,8,46242
SENIOR LIBRARY ASSISTANT,7,45156
SENIOR LIBRARY ASSISTANT,6,44325
SENIOR LIBRARY ASSISTANT,5,42439
SENIOR LIBRARY ASSISTANT,4,41881
SENIOR LIBRARY ASSISTANT,3,40882
SENIOR LIBRARY ASSISTANT,2,39808
SENIOR LIBRARY ASSISTANT,1,39337
LIBRARY ASSISTANT,10,45798
LIBRARY ASSISTANT,9,45138
LIBRARY ASSISTANT,8,43868
LIBRARY ASSISTANT,7,41318
LIBRARY ASSISTANT,6,40055
LIBRARY ASSISTANT,5,39133
LIBRARY ASSISTANT,4,37881
LIBRARY ASSISTANT,3,36934
LIBRARY ASSISTANT,2,35429
LIBRARY ASSISTANT,1,33703
LIBRARY ATTENDANT,14,40230
LIBRARY ATTENDANT,13,40039
LIBRARY ATTENDANT,12,39512
LIBRARY ATTENDANT,11,38970
LIBRARY ATTENDANT,10,38443
LIBRARY ATTENDANT,9,38428
LIBRARY ATTENDANT,8,38072
LIBRARY ATTENDANT,7,37714
LIBRARY ATTENDANT,6,37352
LIBRARY ATTENDANT,5,36989
LIBRARY ATTENDANT,4,36966
LIBRARY ATTENDANT,3,36605
LIBRARY ATTENDANT,2,34054
LIBRARY ATTENDANT,1,33403
INFORMATION TECHNOLOGY
ANALYST PROGRAMMER 3,9,107875
ANALYST PROGRAMMER 3,8,103583
ANALYST PROGRAMMER 3,7,99396
ANALYST PROGRAMMER 3,6,95004
ANALYST PROGRAMMER 3,5,90797
ANALYST PROGRAMMER 3,4,86389
ANALYST PROGRAMMER 3,3,82103
ANALYST PROGRAMMER 3,2,79088
ANALYST PROGRAMMER 3,1,67132
ANALYST PROGRAMMER 2,9,69293
ANALYST PROGRAMMER 2,8,66805
ANALYST PROGRAMMER 2,7,64375
ANALYST PROGRAMMER 2,6,61717
ANALYST PROGRAMMER 2,5,60116
ANALYST PROGRAMMER 2,4,58501
ANALYST PROGRAMMER 2,3,56903
ANALYST PROGRAMMER 2,2,55287
ANALYST PROGRAMMER 2,1,53677
ANALYST PROGRAMMER 1,10,58164
ANALYST PROGRAMMER 1,9,56116
ANALYST PROGRAMMER 1,8,53562
ANALYST PROGRAMMER 1,7,52039
ANALYST PROGRAMMER 1,6,50543
ANALYST PROGRAMMER 1,5,49079
ANALYST PROGRAMMER 1,4,47611
ANALYST PROGRAMMER 1,3,46172
ANALYST PROGRAMMER 1,2,44629
ANALYST PROGRAMMER 1,1,42012





